COD_POSTAL,Neighborhood,Avg_Gross_Income,Avg_disposable_Income
28001,Salamanca- Goya,91154,68333
28002,ChamartÃ_n,55386,42611
28003,ChamberÃ_-Rios Rosas,50559,38842
28004,Justicia,41429,31916
28005,Arganzuela,36428,28739
28006,Castellana,78704,59078
28007,Adelfas,44027,34423
28008,Moncloa,48985,37940
28009,Ibiza-NiÃ±o JesÃºs,50349,38764
28010,Almagro,65353,49683
28011,Latina,27383,22544
28012,Embajadores,30177,24260
28013,Centro,43753,34040
28014,Retiro,55959,42813
28015,Universidad,41019,32208
28016,Hispanoamerica-Costillares,62890,47168
28017,Ventas-Ciudad Lineal-La Elipa,25819,21444
28018,Palomeras,23232,19538
28019,OpaÃ±el-Comillas-San Isidro,25440,21137
28020,Valdeacederas,42253,33055
28021,Villaverde-S. CristÃ_bal de Los ÃÅngeles,22823,19296
28022,San Blas,32639,26125
28023,Aravaca,90877,65975
28024,Campamento,26764,22323
28025,Carabanchel-Abrantes,23922,20086
28026,Usera,23427,19695
28027,San Juan Bautista,35579,28267
28028,Guindalera-Fuente El Berro,40639,31894
28029,TetuÃ¡n-Barrio Del Pilar,31513,25428
28030,Moratalaz,29964,24385
28031,Villa Vallecas-Santa Eugenia,26083,21581
28032,Vicalvaro- Valdebernardo,28953,23592
28033,Hortaleza-Pinar Del Rey,39964,31341
28034,Tres Olivos,47822,36786
28035,Fuencarral,47209,36342
28036,Nueva EspaÃ±a,77156,57391
28037,San Blas,26320,21620
28038,Pavones,22715,19181
28039,Bellas Vistas-Valdeacederas,28960,23540
28040,Ciudad Universitaria,57738,44651
28041,Orcasitas-San FermÃ_n,24226,20325
28042,Barajas-La Alameda de Osuna,45206,34757
28043,Hortaleza-Canillas,50360,38273
28044,Cuatrovientos,25464,21268
28045,Delicias,35233,27913
28046,Castilla -ChamartÃ_n,67086,50184
28047,Aluche-Vista Alegre,26251,21829
28048,Fuencarral El Pardo,29168,23964
28049,El Goloso,52945,39864
28050,Las Tablas,50783,38487
28051,Villa de Vallecas,30343,24555
28053,EntrevÃ_as-Puente de Vallecas,20374,17429
28054,Buenavista-La Fortuna,31808,25647
28055,Valdebebas-Valdefuentes,64530,46988
