"provincia	poblacion	codigopostalid	lat	lon	"
"Madrid	La Acebeda	28755	-3.625204020	41.086697010	"
"Madrid	Ajalvir	28864	-3.480710160	40.535068130	"
"Madrid	Alameda del Valle	28742	-3.843661950	40.916583150	"
"Madrid	El Ãlamo	28607	-3.990797560	40.228256070	"
"Madrid	El Ãlamo	28807	-3.990797560	40.228256070	"
"Madrid	AlcalÃ¡ de Henares	28801	-3.369251020	40.480332320	"
"Madrid	AlcalÃ¡ de Henares	28802	-3.369251020	40.480332320	"
"Madrid	AlcalÃ¡ de Henares	28803	-3.369251020	40.480332320	"
"Madrid	AlcalÃ¡ de Henares	28804	-3.369251020	40.480332320	"
"Madrid	AlcalÃ¡ de Henares	28805	-3.369251020	40.480332320	"
"Madrid	AlcalÃ¡ de Henares	28806	-3.369251020	40.480332320	"
"Madrid	AlcalÃ¡ de Henares	28807	-3.369251020	40.480332320	"
"Madrid	Alcobendas	28100	-3.632401850	40.541041880	"
"Madrid	Alcobendas	28108	-3.632401850	40.541041880	"
"Madrid	Alcobendas	28109	-3.632401850	40.541041880	"
"Madrid	AlcorcÃ³n	28921	-3.828494940	40.351569770	"
"Madrid	AlcorcÃ³n	28922	-3.828494940	40.351569770	"
"Madrid	AlcorcÃ³n	28923	-3.828494940	40.351569770	"
"Madrid	AlcorcÃ³n	28924	-3.828494940	40.351569770	"
"Madrid	AlcorcÃ³n	28925	-3.828494940	40.351569770	"
"Madrid	Aldea del Fresno	28620	-4.202441230	40.325909710	"
"Madrid	Algete	28110	-3.497715030	40.595959620	"
"Madrid	Algete	28120	-3.497715030	40.595959620	"
"Madrid	Alpedrete	28409	-4.023785680	40.658757450	"
"Madrid	Alpedrete	28430	-4.023785680	40.658757450	"
"Madrid	Ambite	28580	-3.178755260	40.331786860	"
"Madrid	Anchuelo	28818	-3.269745660	40.465794900	"
"Madrid	Aranjuez	28300	-3.602796930	40.033401450	"
"Madrid	Arganda del Rey	28500	-3.439111670	40.300734230	"
"Madrid	Arroyomolinos	28939	-3.919355050	40.268197620	"
"Madrid	El Atazar	28189	-3.470463610	40.934498400	"
"Madrid	Batres	28939	-3.923563860	40.210910340	"
"Madrid	Batres	28976	-3.923563860	40.210910340	"
"Madrid	Becerril de la Sierra	28490	-3.986297570	40.717296610	"
"Madrid	Belmonte de Tajo	28390	-3.339461720	40.134026600	"
"Madrid	Berzosa del Lozoya	28194	-3.524039420	40.975552900	"
"Madrid	El Berrueco	28192	-3.557714580	40.889528050	"
"Madrid	Boadilla del Monte	28660	-3.875805970	40.407834570	"
"Madrid	El Boalo	28412	-3.918034260	40.719345830	"
"Madrid	El Boalo	28413	-3.918034260	40.719345830	"
"Madrid	El Boalo	28492	-3.918034260	40.719345830	"
"Madrid	Braojos	28737	-3.643360640	41.040250170	"
"Madrid	Brea de Tajo	28596	-3.107833240	40.230176870	"
"Madrid	Brunete	28690	-3.998573870	40.405515570	"
"Madrid	Buitrago del Lozoya	28730	-3.636451350	40.993572000	"
"Madrid	Bustarviejo	28720	-3.709574920	40.858463010	"
"Madrid	Cabanillas de la Sierra	28721	-3.624426930	40.821209480	"
"Madrid	La Cabrera	28751	-3.614961380	40.864617680	"
"Madrid	Cadalso de los Vidrios	28640	-4.442649840	40.301623490	"
"Madrid	Cadalso de los Vidrios	28648	-4.442649840	40.301623490	"
"Madrid	Camarma de Esteruelas	28816	-3.379069370	40.550057730	"
"Madrid	Campo Real	28510	-3.382764540	40.339204940	"
"Madrid	Canencia	28743	-3.737823030	40.909606270	"
"Madrid	CarabaÃ±a	28560	-3.237085980	40.256878980	"
"Madrid	Casarrubuelos	28977	-3.833565030	40.171771640	"
"Madrid	Cenicientos	28650	-4.466606100	40.264043470	"
"Madrid	Cercedilla	28470	-4.056222970	40.742784430	"
"Madrid	Cervera de Buitrago	28193	-3.530471100	40.922194470	"
"Madrid	Ciempozuelos	28350	-3.616501450	40.158534790	"
"Madrid	CobeÃ±a	28863	-3.504639190	40.567416570	"
"Madrid	Colmenar del Arroyo	28213	-4.202061470	40.419246340	"
"Madrid	Colmenar de Oreja	28380	-3.388411320	40.107620150	"
"Madrid	Colmenarejo	28270	-4.017409500	40.560529520	"
"Madrid	Colmenarejo	28279	-4.017409500	40.560529520	"
"Madrid	Colmenar Viejo	28120	-3.766650120	40.657650680	"
"Madrid	Colmenar Viejo	28707	-3.766650120	40.657650680	"
"Madrid	Colmenar Viejo	28750	-3.766650120	40.657650680	"
"Madrid	Colmenar Viejo	28770	-3.766650120	40.657650680	"
"Madrid	Collado Mediano	28450	-4.023075880	40.694365360	"
"Madrid	Collado Villalba	28400	-3.992725350	40.643029370	"
"Madrid	Corpa	28811	-3.262543580	40.424504370	"
"Madrid	Coslada	28820	-3.567493620	40.426549120	"
"Madrid	Coslada	28821	-3.567493620	40.426549120	"
"Madrid	Coslada	28822	-3.567493620	40.426549120	"
"Madrid	Coslada	28823	-3.567493620	40.426549120	"
"Madrid	Cubas de la Sagra	28978	-3.837965340	40.191524460	"
"Madrid	ChapinerÃ­a	28694	-4.209736130	40.377815430	"
"Madrid	ChinchÃ³n	28370	-3.422306230	40.141269160	"
"Madrid	Daganzo de Arriba	28814	-3.458427720	40.545338570	"
"Madrid	El Escorial	28211	-4.126986220	40.584962200	"
"Madrid	El Escorial	28212	-4.126986220	40.584962200	"
"Madrid	El Escorial	28219	-4.126986220	40.584962200	"
"Madrid	El Escorial	28280	-4.126986220	40.584962200	"
"Madrid	El Escorial	28292	-4.126986220	40.584962200	"
"Madrid	Estremera	28595	-3.105883340	40.184816390	"
"Madrid	Fresnedillas de la Oliva	28214	-4.170123370	40.487599710	"
"Madrid	Fresno de Torote	28815	-3.411880830	40.592792210	"
"Madrid	Fuenlabrada	28941	-3.790852870	40.282218950	"
"Madrid	Fuenlabrada	28942	-3.790852870	40.282218950	"
"Madrid	Fuenlabrada	28943	-3.790852870	40.282218950	"
"Madrid	Fuenlabrada	28944	-3.790852870	40.282218950	"
"Madrid	Fuenlabrada	28945	-3.790852870	40.282218950	"
"Madrid	Fuenlabrada	28946	-3.790852870	40.282218950	"
"Madrid	Fuenlabrada	28947	-3.790852870	40.282218950	"
"Madrid	Fuente el Saz de Jarama	28140	-3.514176930	40.632841840	"
"Madrid	FuentidueÃ±a de Tajo	28597	-3.159436780	40.118662190	"
"Madrid	Galapagar	28250	-4.003986000	40.578376090	"
"Madrid	Galapagar	28260	-4.003986000	40.578376090	"
"Madrid	Galapagar	28270	-4.003986000	40.578376090	"
"Madrid	Galapagar	28292	-4.003986000	40.578376090	"
"Madrid	Galapagar	28400	-4.003986000	40.578376090	"
"Madrid	Galapagar	28420	-4.003986000	40.578376090	"
"Madrid	Garganta de los Montes	28739	-3.687258080	40.921737210	"
"Madrid	Garganta de los Montes	28743	-3.687258080	40.921737210	"
"Madrid	Gargantilla del Lozoya y Pinilla de Buitrago	28739	-3.718271660	40.964977120	"
"Madrid	Gascones	28737	-3.642330830	41.018735370	"
